,content,id,lat,location,lon,time,user,user_id
0,@MichaelToole https://t.co/bwacJa6EVm,968546545338601473,,02139,,2018-02-27 18:01:05,hoover_dam,35197742
1,"“Bad Breath” - 🍕of feta, pesto, caramelized onions, garlic, basil, spinach, tomatoes, arugula… https://t.co/88h2BsLmAV",968545837105254408,-71.09821558,"Boston, MA",42.3468411,2018-02-27 17:58:16,GameOnFenway,30972506
2,What do u serve here? #mainelyburgers #burger #burgerporn @ Mainely Burgers https://t.co/Cfg9wRQ5Ie,968543927325339648,-71.10491,Sydney,42.36592,2018-02-27 17:50:41,dryasadingo,35187666
4,"@Bowsnonk yeah and it's not like the joke doesn't work by changing it to ""pay by the hour meth lab motel"" or similar",968543104348442628,,02139,,2018-02-27 17:47:25,hoover_dam,35197742
5,"@FriendlyFAUX The Green Book, only for American soccer fandom",968538903715172352,,02139,,2018-02-27 17:30:43,hoover_dam,35197742
6,"Want to work at Massachusetts Institute of Techn...? We're #hiring in #Cambridge, MA! Click for details:… https://t.co/C38DWwFHCG",968537971048656896,-71.0824613,"Boston, MA",42.3635847,2018-02-27 17:27:01,tmj_bos_edu,21799895
7,"Tuesday Tips with Donte Harrison:

[On being part of City Music] “If you are wondering how… https://t.co/yRiNCkyqxj",968537330771521536,-71.08881712,"Boston, MA",42.34717414,2018-02-27 17:24:28,CityMusicBoston,1954374439
8,@MichaelToole THANKS MOM,968536037130727431,,02139,,2018-02-27 17:19:20,hoover_dam,35197742
9,"Update: no cavities, but a planing in my future, as you could park a truck in some of those gum pockets 😬",968534871898513409,,02139,,2018-02-27 17:14:42,hoover_dam,35197742
10,PSA: 2016 rosé is 1. still in BOS 2. still delicious (possibly even better; over any travel… https://t.co/Wj2tCDTgZs,968527241046122496,-71.09686,"CENTRAL SQ., Cambridge, MA",42.36117,2018-02-27 16:44:23,centralbtlwine,59888158
12,"You look very tasty😍 May I eat you?😝
........................
Pek lezzetli görünüyorsun! Seni… https://t.co/rtbzSson1k",968524997412249602,-71.08283136,İstanbul,42.36504124,2018-02-27 16:35:28,KokoshAnne,524757059
13,"🌺☀️🌺#Hibiscus Jasmine tea, so yummy and packed full of vitamins A, C and… https://t.co/CfhU1e8MDx",968522888088350720,-71.0986961,"Cambridge, MA",42.3626014,2018-02-27 16:27:05,abidecambridge,867397423831896065
15,"TONIGHT: Nina and Sundial!

Rsvp: https://t.co/AE2OeT2FFM https://t.co/tvD0qhGw99",968522052490711045,,"Cambridge, MA 02139",,2018-02-27 16:23:46,zuzubar,54668956
16,6 months with you flew by. I love you my lil duckling 🌹🦆🌹 @ Parallax https://t.co/WghDH6UALU,968521369590800385,-71.10186338,,42.34760233,2018-02-27 16:21:03,HolyTerrorHvnny,56596359
17,"#lovemyneighborhood 
#Boston #SouthEnd #Backbay

#16YrSouthEndResident @ Hynes Convention Center… https://t.co/egRAM8p9Oh",968518107873488896,-71.087828,"Massachusetts, USA",42.347806,2018-02-27 16:08:05,LloydLegacy617,452483362
18,HORSE SHIT THEA TER (clap 5x) @MAPFREStadium @ussoccer_wnt https://t.co/ctjKikLQtU,968516168884596736,,02139,,2018-02-27 16:00:23,hoover_dam,35197742
19,A little push/pull action this morning....here’s a little of the workout.  First video: Walkout… https://t.co/L7OQHNfWkh,968516148533911554,-71.08501,"Boston, MA",42.3483,2018-02-27 16:00:18,nlfhealth,275808641
20,@thetvmuseum @AnnLarimer @BBCRadio4 All with good consent I hope,968515733947867137,,02139,,2018-02-27 15:58:39,hoover_dam,35197742
21,@Classlicity @HBAdventure America Wants Kessels,968511956532514816,,02139,,2018-02-27 15:43:39,hoover_dam,35197742
22,@elmcitydance is coming to @DanceComplex March 9 &amp; 10! GET YOUR TICKETS TODAY!!… https://t.co/BSguIM548E,968507856139022336,-71.10233,536 Mass Ave. Cambridge MA,42.36419,2018-02-27 15:27:21,DanceComplex,2218022312
23,THU 7:15PM: Just a couple of days left for secular humanist speaker and writer @DanielShkolnik to join us on campus… https://t.co/iLj2pfwWKI,968504563320934400,,"Cambridge, MA",,2018-02-27 15:14:16,SecularMIT,783629079966867456
24,@PatrickWBarrett @jessekb @TimToomey1 For a policy order that’s just an empty gesture,968503327406338049,,,,2018-02-27 15:09:21,geep9,28477466
25,"""@MoiseJovenel a plaidé pour l’intégration du Créole comme l’une des langues officielles et de travail au niveau du… https://t.co/4brw8IDS4r",968502431834431488,,MIT,,2018-02-27 15:05:48,MichelDeGraff,2203470013
26,Cinnamon swirl nutella stuffed french toast.. my life is forever changed 😍#foodie @ Cafe Luna https://t.co/OrZflF5mWQ,968498691807043584,-71.0927848,MA,42.3627822,2018-02-27 14:50:56,alilicious__,27187367
27,@PatrickWBarrett @jessekb I guess @TimToomey1 was listening to this?,968495061368438785,,,,2018-02-27 14:36:31,geep9,28477466
28,"@bensaufley As someone who was 8 in 1985, Stranger Things and RP1 can go piss up a rope",968494690512330752,,02139,,2018-02-27 14:35:02,hoover_dam,35197742
29,the 82% has spoken 😉see you next friday? @ Berklee Cafeteria https://t.co/7RnntBxlIS,968489427436802048,-71.08691,Under the bridge,42.34628,2018-02-27 14:14:07,bittymacbeth,82059112
30,Cheers!! This is my type of martini 😍😍😍 @ Itadaki Boston https://t.co/rtS0Eqb7dq,968488181070024705,-71.08359,"Boston, MA",42.34956,2018-02-27 14:09:10,gloriachin,65109971
31,Enjoying fantastic Panel Women’s Network Breakfast “Workplace Culture” In Boston. #BostonChamber… https://t.co/bnOCoVds6r,968484642134380544,,"Halifax, N.S.",,2018-02-27 13:55:06,FloriaWellness,904035738
32,From the #MeToo movement to the pipeline excuse to the role of everyone in speaking up and speaking out — a powerfu… https://t.co/ghvQNh4tz2,968480887594774530,,boston/chicago/✈️ via ireland,,2018-02-27 13:40:11,sarahmceneaney,236206118
33,Panelists at @bostonchamber breakfast: #MeToo is having a a major impact in changing the way companies do business… https://t.co/fYdanlBJxU,968478418345103360,,"Boston, MA",,2018-02-27 13:30:23,Jay_McQuaide,3413274676
34,"#Throwback when I had my face #tattoos , always training...
#training 
#stayinshape… https://t.co/RNOLJWtMFF",968477551139147782,-71.106682,"California, USA",42.366787,2018-02-27 13:26:56,hazzo28,464952638
36,whoa. huge if true https://t.co/YTgLPj04AZ,968472802482368513,,"Cambridge, MA",,2018-02-27 13:08:04,Moomoomoo1,23379347
37,"Want to work at Massachusetts Institute of Techn...? We're #hiring in #Cambridge, MA! Click for details:… https://t.co/w8D2fZtKlF",968469557051457536,-71.1032591,"Boston, MA",42.3647559,2018-02-27 12:55:10,tmj_bos_itmgmt,106009252
38,@bchesky @bchesky @Airbnb please bring Airbnb Plus and experiences to Cambridge MA and the cape,968468524875288576,,"cambridge, ma 02139",,2018-02-27 12:51:04,mirandaLevy333,124232294
39,@bchesky Include Cambridge MA please,968466786625773568,,"cambridge, ma 02139",,2018-02-27 12:44:09,mirandaLevy333,124232294
40,@bchesky Can’t wait for experiences coming to Cambridge MA,968465774338891776,,"cambridge, ma 02139",,2018-02-27 12:40:08,mirandaLevy333,124232294
41,@MichaelToole https://t.co/7pUnkazqnZ,968455716200767488,,02139,,2018-02-27 12:00:10,hoover_dam,35197742
42,Today: https://t.co/qu3lavcB6G @Dentist_Chui,968455638153089024,,02139,,2018-02-27 11:59:51,hoover_dam,35197742
43,"Good morning Boston, Ma and the world, wishing you an amazing week.… https://t.co/hlXyIy6bwu",968452370752462848,-71.088367,USA,42.34707,2018-02-27 11:46:52,jetroscholar,27477923
44,Intersection #stairs #blackandwhitephotography #nikond500 #mit… https://t.co/AdWkpcPN4Y,968442140383698945,-71.090255,Schenectady NY,42.36164,2018-02-27 11:06:13,TrinacriaPhoto,594721653
45,Up to 56% Off at Mogi'z Salon and Art Gallery - Cambridge https://t.co/Y4eCsdU6xW,968441107582537734,-71.0854,"Boston, MA",42.3716,2018-02-27 11:02:07,SB_BostonDeals,535415623
46,Channeled my inner #lesleyknope as I indulged in #waffle day at @longfellowscam this weekend!… https://t.co/BEGfuRreQu,968440951537467392,-71.09813,"Boston, MA",42.36803,2018-02-27 11:01:30,LilMissRunshine,188569060
47,"Prolonging the birthday magic with oysters, lobsters and fave… https://t.co/TWnvwWoehh",968357778812174337,-71.0812,"41.400877,-73.416394",42.34933,2018-02-27 05:31:00,andreinyc,14110509
48,@TheLucasSteele Can’t even describe the level of respect I have for @TheLucasSteele . Also that savageness though.… https://t.co/KtPtLGkuEO,968345389500915714,,"Boston, MA",,2018-02-27 04:41:46,MelissaThomasss,101224765
49,"@dylanminnettee thanks for the best night, hope you liked our roses 🌹 @wallowsmusic https://t.co/Fuj9FyYhz2",968343664438185985,,Joshua 1:9,,2018-02-27 04:34:55,CourtneyMcGonde,756448248
50,@AnnLarimer @Etsy Man @KevinEHartman never did sign that Gary Tiel portrait for me,968339759838920706,,02139,,2018-02-27 04:19:24,hoover_dam,35197742
51,"""Ridin with my n*ggas, cuz they understand me"" - PND https://t.co/eAPEgcysn1",968332250755551232,,where lowkey ppl be at...,,2018-02-27 03:49:33,WeirdGuyAkim,167921627
52,"Not quite there yet, but hey, Happy Lantern Festival! https://t.co/amsq0tecLy",968327765060616196,,"Cambridge, MA",,2018-02-27 03:31:44,HaikunHe,844700490
53,Yeah but what does President Miller think? https://t.co/WcrX9GwdKT,968326676500434946,,"Cambridge, MA",,2018-02-27 03:27:24,kevin_doyle,15926388
54,#startupweekend was rocking with @ErikModahl #love #Coldbrew #community #boston #cambridge @ IBM… https://t.co/kiNdH0tVRa,968324730414620673,-71.0793909,"Boston, MA",42.3654714,2018-02-27 03:19:40,ErikModahl,553989316
55,@WelcomeToDot The word character should be made illegal for this…..people should be asked to define what they mean and defend it,968324175625670656,,,,2018-02-27 03:17:28,geep9,28477466
56,@BostonGlobe he should be practicing!!!!!!!!!!!!!!!!!!!!!!!!!!!!,968316374367064064,,"Cambridge, MA",,2018-02-27 02:46:28,Moomoomoo1,23379347
57,This data visualization practice is a kind of a time of a time machine. 2 hours pass like 15 min #bigdatavisualization #OpenData,968315960221487104,,Earth,,2018-02-27 02:44:50,shumbro,392622770
58,MIJA was a night to remember this past Sauce Saturday with my rave fam! My third time seeing her… https://t.co/ZONgCg1qrJ,968314114387955717,-71.1015935,Getting Lost | Masshole,42.3636049,2018-02-27 02:37:29,plurr_Jordan,554046771
59,@JimGaffigan @drewmagary,968314020590702593,,"Cambridge, MA",,2018-02-27 02:37:07,Moomoomoo1,23379347
60,My Morty doll is me after a long day of hard work 🙌🏼 #SzechuanSauce #MidtermWeek @ Boston… https://t.co/k744C0a1V6,968311405148434432,-71.09953,"Boston, MA",42.34958,2018-02-27 02:26:44,AnToneMcTony,196904798
